function,population,fitness,run
ackley,30,20.000087074712877,0
ackley,30,12.632942203130433,1
ackley,30,18.920747764720307,2
ackley,30,12.557773397567404,3
ackley,30,19.999871341243207,4
ackley,30,19.99843296293684,5
ackley,30,19.96958177938797,6
ackley,30,19.999948330643647,7
ackley,30,5.38314111432835,8
ackley,30,11.9012690322645,9
ackley,50,10.258096494221503,0
ackley,50,0.00037554528973915424,1
ackley,50,15.028003590083994,2
ackley,50,7.961892811242938,3
ackley,50,15.88203190868381,4
ackley,50,16.728444845510367,5
ackley,50,3.5612746285274e-06,6
ackley,50,3.574466010406358,7
ackley,50,15.882453588823497,8
ackley,50,19.99951657118822,9
ackley,75,14.43696715554877,0
ackley,75,10.120333075532058,1
ackley,75,19.263352085957127,2
ackley,75,7.961711274723312,3
ackley,75,7.180970615574481,4
ackley,75,10.120351095757021,5
ackley,75,15.167495973138559,6
ackley,75,8.616250391014956,7
ackley,75,16.176558011641198,8
ackley,75,7.180951778689872,9
ackley,100,17.646090459023387,0
ackley,100,15.882023367172062,1
ackley,100,16.00906578319423,2
ackley,100,5.381864550869068,3
ackley,100,11.217549671142356,4
ackley,100,14.019255716848523,5
ackley,100,17.014822397647837,6
ackley,100,12.632263069656522,7
ackley,100,16.438688190592124,8
ackley,100,8.813152027303543,9
ackley,150,5.3818642499481975,0
ackley,150,13.364485999737848,1
ackley,150,2.5799275570301146,2
ackley,150,10.120350749382922,3
ackley,150,13.597109061047979,4
ackley,150,9.001093478304602,5
ackley,150,4.884065578963682,6
ackley,150,8.813152301730517,7
ackley,150,7.961711275546241,8
ackley,150,2.5799275652298417,9
